Feature Number,ReconRank,RMSE
0,10.0,0.0294037419515
1,23.0,0.048741203675
2,4.0,0.0223459833669
3,25.0,0.0955490747524
4,16.0,0.034153889052
5,7.0,0.0280735935815
6,13.0,0.0329015764293
7,8.0,0.0285732610711
8,9.0,0.0289741100653
9,24.0,0.0785271630336
10,11.0,0.0297176951087
11,3.0,0.016674943367
12,19.0,0.0394025897647
13,1.0,0.0149363240636
14,5.0,0.0240096561654
15,14.0,0.0332600953236
16,22.0,0.043226295401
17,2.0,0.0162763309632
18,20.0,0.0416420480519
19,15.0,0.033488534201
20,12.0,0.0326096292021
21,18.0,0.0374946177007
22,21.0,0.0420506623465
23,6.0,0.0240463745247
24,17.0,0.035870717841
